language,total_count,direction_consistent,direction_mismatch_count,monolingual_count,multilingual_count
Bengali,2,2,0,1,1
TagalogFilipino,6,6,0,3,3
Kannada,7,7,0,6,1
Bhojpuri,10,10,0,10,0
Gujarati,15,15,0,14,1
Tamil,24,24,0,19,5
Thai,32,32,0,27,5
Italian,34,34,0,32,2
Swahili,35,35,0,33,2
Punjabi,50,49,1,31,19
Korean,52,52,0,49,3
Hausa,68,68,0,59,9
NigerianPidgin,69,69,0,63,6
Telugu,100,100,0,52,48
Urdu,101,84,17,76,25
Hindi,216,216,0,177,39
Turkish,220,220,0,86,134
Vietnamese,233,233,0,170,63
Indonesian,246,246,0,226,20
Russian,252,252,0,234,18
German,259,259,0,257,2
Japanese,296,296,0,287,9
Arabic,353,352,1,303,50
Portuguese,428,428,0,269,159
Spanish,458,458,0,457,1
French,469,469,0,464,5
English,554,554,0,482,72
Chinese,591,591,0,333,258
